pool_size,n,num_grids,time_s
4,100,75000,21.231232957999964
4,100,80000,22.7007967920008
4,100,100000,28.375509249999595
4,200,5000,2.9020653750003476
4,200,7500,4.291426167000282
4,200,8000,4.561142624999775
4,200,10000,5.592328417000317
4,200,20000,11.044718916999955
4,200,25000,13.8860204169996
4,200,40000,21.816908791999595
4,200,50000,26.946907375000592
4,200,75000,41.45830925000064
4,200,80000,43.480096958000104
4,200,100000,52.80926491599985
4,250,5000,3.4606935000001613
4,250,7500,5.079989834000116
4,250,8000,5.3787627080000675
4,250,10000,6.743080916000508
4,250,20000,13.32143733400062
4,250,25000,16.364905207999982
4,250,40000,26.092940292000094
4,250,50000,32.73399058299947
4,250,75000,48.436237124999934
4,250,80000,51.99942099999953
4,250,100000,65.47309612499976
4,400,5000,6.013257208000141
4,400,7500,8.896675250000044
4,400,8000,9.254312834000302
4,400,10000,11.481308291999994
4,400,20000,23.106209124999623
4,400,25000,28.863163167000494
4,400,40000,46.05074908300048
4,400,50000,57.23767674999999
4,400,75000,86.16811979199974
4,400,80000,95.72109995900064
4,400,100000,117.93800216699947
4,500,5000,7.8593824999998105
4,500,7500,11.681507166999836
4,500,8000,12.508320582999659
4,500,10000,15.060756500000025
4,500,20000,30.713652082999943
4,500,25000,37.39221275
4,500,40000,59.52458991700041
4,500,50000,74.84286241599966
4,500,75000,114.31155058399963
4,500,80000,119.50816883300013
4,500,100000,149.64648774999932
6,20,5000,0.560776624999562
6,20,7500,0.7290461669999786
6,20,8000,0.7309486670001206
6,20,10000,0.8735192080002889
6,20,20000,1.5389733330002855
6,20,25000,1.7932067910005571
6,20,40000,2.8470133750006426
6,20,50000,3.542112666000321
6,20,75000,5.166290000000117
6,20,80000,5.294391041999916
6,20,100000,6.553823541000384
6,25,5000,0.5816382089997205
6,25,7500,0.7573855000000549
6,25,8000,0.8166387499995835
6,25,10000,0.9366668330003449
6,25,20000,1.6393640419992153
6,25,25000,1.9937573340002928
6,25,40000,3.0465759999997317
6,25,50000,3.881059458999516
6,25,75000,5.718319124999653
6,25,80000,5.975371250000535
6,25,100000,7.422803334000491
6,40,5000,0.7226517499993861
6,40,7500,0.9214224580000518
6,40,8000,0.9915136250001524
6,40,10000,1.156855708999501
6,40,20000,2.085362499999974
6,40,25000,2.6774117080003634
6,40,40000,3.9989775839994763
6,40,50000,4.947794832999534
6,40,75000,7.367903875000593
6,40,80000,7.7016307500007315
6,40,100000,9.83856279199972
6,50,5000,0.811801832999663
6,50,7500,1.0704117499999484
6,50,8000,1.11572200000046
6,50,10000,1.3170561670003735
6,50,20000,2.4080511250003838
6,50,25000,2.9563370000005307
6,50,40000,4.642599958000574
6,50,50000,5.733623207999699
6,50,75000,8.38926070800062
6,50,80000,8.980194875000052
6,50,100000,11.221285707999414
6,75,5000,0.9643973329993969
6,75,7500,1.3339194170002884
6,75,8000,1.4524400829996011
6,75,10000,1.7639668750007331
6,75,20000,3.1571920420001334
6,75,25000,3.907356042000174
6,75,40000,6.121721749999779
6,75,50000,7.600328458000149
6,75,75000,11.16464625000026
6,75,80000,12.049611542000093
6,75,100000,15.001940750000358
6,80,5000,1.018303707999621
6,80,7500,1.4032627910000883
6,80,8000,1.478741916999752
6,80,10000,1.792698332999862
6,80,20000,3.337601082999754
6,80,25000,4.1299877499996
6,80,40000,6.491538292000769
6,80,50000,8.136196041999938
6,80,75000,11.920102417000635
6,80,80000,12.644031416999496
6,80,100000,15.834651041999678
6,100,5000,1.183590541999365
6,100,7500,1.6645939589998306
6,100,8000,1.7270920830005707
6,100,10000,2.1053787920000104
6,100,20000,4.014018667000528
6,100,25000,4.906170958000075
6,100,40000,7.73301312500007
6,100,50000,9.24298491600075
6,100,75000,14.318367208999916
6,100,80000,15.422420165999938
6,100,100000,19.196607290999964
6,200,5000,2.0473683750005875
6,200,7500,2.9665750829999524
6,200,8000,3.1258029999999053
6,200,10000,3.9374742090003565
6,200,20000,7.394836542000121
6,200,25000,9.299521707999702
6,200,40000,14.912794500000018
6,200,50000,18.64346291699985
6,200,75000,27.34461233299953
6,200,80000,29.363814000000275
6,200,100000,36.78584779199991
6,250,5000,2.4987072089998037
6,250,7500,3.744739458999902
6,250,8000,3.867851041999529
6,250,10000,4.774501083000359
6,250,20000,9.464620583000396
6,250,25000,11.194758833000378
6,250,40000,17.98623604199929
6,250,50000,22.47900404200027
6,250,75000,33.134668750000856
6,250,80000,36.2726099169995
6,250,100000,45.826525917000254
6,400,5000,4.126538040999549
6,400,7500,6.060864875000334
6,400,8000,6.499294209000254
6,400,10000,8.022159832999932
6,400,20000,15.819780874999196
6,400,25000,19.746650958999453
6,400,40000,31.818848457999593
6,400,50000,39.317929916999674
6,400,75000,58.59711637500004
6,400,80000,62.6129612499999
6,400,100000,79.17484491699997
6,500,5000,5.387543041999379
6,500,7500,7.976132124999822
6,500,8000,8.413235999999415
6,500,10000,10.739846749999742
6,500,20000,20.462919083000088
6,500,25000,25.761834874999295
6,500,40000,40.6077908340003
6,500,50000,51.8914464999998
6,500,75000,76.66860816699955
6,500,80000,81.12475995900058
6,500,100000,101.7035402499996
8,20,5000,0.5135957499996948
8,20,7500,0.6493728330005979
8,20,8000,0.6606631250006103
8,20,10000,0.7756131670003015
8,20,20000,1.379511791999903
8,20,25000,1.6889706669999214
8,20,40000,2.3086952499998006
8,20,50000,2.8273607080000147
8,20,75000,4.128686249999191
8,20,80000,4.441638790999605
8,20,100000,5.411079459000575
8,25,5000,0.5611149579999619
8,25,7500,0.7051617090000946
8,25,8000,0.7369990839997627
8,25,10000,0.8549799579996034
8,25,20000,1.455750916999932
8,25,25000,1.7285675829998581
8,25,40000,2.688422291000279
8,25,50000,3.309242749999612
8,25,75000,4.736191458000576
8,25,80000,5.3253409169992665
8,25,100000,6.480183416999353
8,40,5000,0.7354835830001321
8,40,7500,0.9429870839994692
8,40,8000,0.8860013330004222
8,40,10000,1.0213399170006596
8,40,20000,1.7619904169996516
8,40,25000,2.1180579169995326
8,40,40000,3.24147529199945
8,40,50000,4.053229291999742
8,40,75000,5.692794791999404
8,40,80000,5.963866166000116
8,40,100000,7.316725416999361
8,50,5000,0.6737342500000523
8,50,7500,0.8643623329999173
8,50,8000,0.9091194579996227
8,50,10000,1.1160442500004137
8,50,20000,1.9057622910004284
8,50,25000,2.8012126670000725
8,50,40000,3.93694245900042
8,50,50000,4.544141624999611
8,50,75000,6.62464645900036
8,50,80000,7.034519542000453
8,50,100000,8.752098541999658
8,75,5000,0.8324621250003474
8,75,7500,1.125716083000043
8,75,8000,1.1850147499999366
8,75,10000,1.3979017920000842
8,75,20000,2.534628708999662
8,75,25000,3.1170874170002207
8,75,40000,4.758438042000307
8,75,50000,5.885871417000089
8,75,75000,8.780286625000372
8,75,80000,9.332966916999794
8,75,100000,11.663675208999848
8,80,5000,0.8694270420000976
8,80,7500,1.171854582999913
8,80,8000,1.2373973339999793
8,80,10000,1.472786334000375
